incident_id,related_build_id,downtime_minutes,error_log
INC-39543,B1773,25,MEMORY_LEAK
INC-24510,B1780,202,NULL_POINTER
INC-84382,B1787,215,NULL_POINTER
INC-68008,B1790,218,TIMEOUT_ERR
INC-95245,B1791,105,SEG_FAULT
INC-39617,B1793,103,MEMORY_LEAK
INC-37455,B1803,79,MEMORY_LEAK
INC-62541,B1805,149,SEG_FAULT
INC-59598,B1811,28,MEMORY_LEAK
INC-43166,B1812,159,NULL_POINTER
INC-46117,B1814,32,MEMORY_LEAK
INC-24746,B1818,170,NULL_POINTER
INC-85255,B1819,224,SEG_FAULT
INC-57674,B1822,134,TIMEOUT_ERR
INC-36065,B1825,14,SEG_FAULT
INC-12774,B1826,222,TIMEOUT_ERR
INC-86646,B1831,136,SEG_FAULT
INC-75413,B1832,200,NULL_POINTER
INC-24335,B1839,13,NULL_POINTER
INC-29716,B1840,42,NULL_POINTER
INC-59672,B1841,74,TIMEOUT_ERR
INC-99881,B1844,219,TIMEOUT_ERR
INC-60154,B1845,141,SEG_FAULT
INC-33553,B1847,66,NULL_POINTER
INC-50860,B1850,69,TIMEOUT_ERR
INC-57116,B1853,80,SEG_FAULT
INC-53329,B1854,96,TIMEOUT_ERR
INC-70150,B1878,63,SEG_FAULT
INC-81173,B1882,170,MEMORY_LEAK
INC-11645,B1890,138,TIMEOUT_ERR
INC-34120,B1892,116,MEMORY_LEAK
INC-74965,B1901,201,MEMORY_LEAK
INC-52648,B1906,29,NULL_POINTER
INC-90104,B1909,22,SEG_FAULT
INC-52128,B1910,127,MEMORY_LEAK
INC-93401,B1917,40,TIMEOUT_ERR
INC-84364,B1918,196,SEG_FAULT
INC-55005,B1919,235,TIMEOUT_ERR
INC-42197,B1936,185,TIMEOUT_ERR
INC-72742,B1940,50,NULL_POINTER
INC-43502,B1941,28,TIMEOUT_ERR
INC-11903,B1943,96,TIMEOUT_ERR
INC-32355,B1951,82,MEMORY_LEAK
INC-86087,B1954,124,MEMORY_LEAK
INC-49520,B1955,174,TIMEOUT_ERR
INC-98193,B1960,66,TIMEOUT_ERR
INC-16698,B1968,47,NULL_POINTER
INC-61971,B1982,227,TIMEOUT_ERR
INC-98582,B1992,149,NULL_POINTER
INC-34108,B1993,190,TIMEOUT_ERR
INC-89268,B1996,142,MEMORY_LEAK
