build_id,timestamp,code_churn,complexity_score,test_pass_rate,team_name
B1095,2025-01-20,17,13,1.0,Legacy_Kernel
B1096,2025-01-20,96,21,0.978,Smt_Control
B1097,2025-01-20,32,18,1.0,Smt_Control
B1098,2025-01-20,18,6,0.998,Smt_Process
B1099,2025-01-20,15,9,0.98,Smt_Process
B1100,2025-01-21,361,38,0.892,Smt_Control
B1101,2025-01-21,21,14,1.0,Smt_Control
B1102,2025-01-21,229,33,0.993,Legacy_Kernel
B1103,2025-01-21,64,10,1.0,Smt_Control
B1104,2025-01-21,12,11,1.0,Smt_Process
B1105,2025-01-22,81,23,1.0,Legacy_Kernel
B1106,2025-01-22,835,70,0.942,Smt_Data
B1107,2025-01-22,87,16,0.935,Smt_Control
B1108,2025-01-22,75,11,1.0,Legacy_Kernel
B1109,2025-01-22,31,7,1.0,Legacy_Kernel
B1110,2025-01-23,26,15,1.0,Smt_Control
B1111,2025-01-23,948,82,0.875,Legacy_Kernel
B1112,2025-01-23,56,17,0.948,Legacy_Kernel
B1113,2025-01-23,48,16,1.0,Legacy_Kernel
B1114,2025-01-23,758,65,0.878,Legacy_Kernel
B1115,2025-01-24,86,17,0.954,Smt_Data
B1116,2025-01-24,24,7,0.897,Smt_Control
B1117,2025-01-24,35,7,0.988,Smt_Control
B1118,2025-01-24,80,16,0.957,Legacy_Kernel
B1119,2025-01-24,587,56,0.86,Smt_Control
B1120,2025-01-25,86,20,0.928,Smt_Process
B1121,2025-01-25,44,15,0.974,Smt_Control
B1122,2025-01-25,89,16,1.0,Smt_Control
B1123,2025-01-25,32,11,1.0,Smt_Process
B1124,2025-01-25,70,10,1.0,Smt_Data
B1125,2025-01-26,13,9,0.963,Smt_Data
B1126,2025-01-26,889,70,0.838,Legacy_Kernel
B1127,2025-01-26,28,6,1.0,Smt_Process
B1128,2025-01-26,48,12,0.997,Legacy_Kernel
B1129,2025-01-26,29,14,0.922,Smt_Process
B1130,2025-01-27,95,17,0.914,Smt_Process
B1131,2025-01-27,64,23,0.95,Legacy_Kernel
B1132,2025-01-27,21,12,1.0,Smt_Process
B1133,2025-01-27,38,13,0.971,Smt_Control
B1134,2025-01-27,78,23,0.984,Smt_Data
B1135,2025-01-28,24,16,0.943,Legacy_Kernel
B1136,2025-01-28,600,54,0.858,Smt_Process
B1137,2025-01-28,77,16,0.995,Smt_Control
B1138,2025-01-28,979,77,0.848,Smt_Process
B1139,2025-01-28,18,10,0.94,Legacy_Kernel
B1140,2025-01-29,23,16,0.917,Smt_Process
B1141,2025-01-29,740,68,0.875,Smt_Process
B1142,2025-01-29,53,13,1.0,Smt_Control
B1143,2025-01-29,54,21,0.975,Smt_Data
B1144,2025-01-29,663,56,0.834,Legacy_Kernel
B1145,2025-01-30,52,12,1.0,Smt_Data
B1146,2025-01-30,62,15,1.0,Smt_Process
B1147,2025-01-30,54,22,0.931,Smt_Process
B1148,2025-01-30,28,17,0.996,Legacy_Kernel
B1149,2025-01-30,98,17,0.97,Smt_Process
B1150,2025-01-31,36,8,1.0,Legacy_Kernel
B1151,2025-01-31,691,56,0.874,Legacy_Kernel
B1152,2025-01-31,819,62,0.867,Legacy_Kernel
B1153,2025-01-31,30,14,1.0,Smt_Process
B1154,2025-01-31,11,14,0.938,Smt_Data
B1155,2025-02-01,781,69,0.916,Smt_Data
B1156,2025-02-01,23,19,0.933,Smt_Data
B1157,2025-02-01,70,18,1.0,Smt_Process
B1158,2025-02-01,62,11,1.0,Smt_Data
B1159,2025-02-01,83,10,1.0,Smt_Data
B1160,2025-02-02,83,20,0.992,Smt_Data
B1161,2025-02-02,31,17,0.933,Legacy_Kernel
B1162,2025-02-02,39,18,0.94,Smt_Control
B1163,2025-02-02,79,10,1.0,Smt_Data
B1164,2025-02-02,72,12,0.973,Legacy_Kernel
B1165,2025-02-03,54,13,0.967,Legacy_Kernel
B1166,2025-02-03,98,13,1.0,Smt_Data
B1167,2025-02-03,76,21,0.912,Smt_Process
B1168,2025-02-03,312,27,0.767,Legacy_Kernel
B1169,2025-02-03,85,18,1.0,Legacy_Kernel
B1170,2025-02-04,51,20,0.985,Smt_Control
B1171,2025-02-04,13,18,0.907,Smt_Control
B1172,2025-02-04,51,20,0.919,Smt_Control
B1173,2025-02-04,29,19,1.0,Smt_Data
B1174,2025-02-04,35,8,1.0,Legacy_Kernel
B1175,2025-02-05,43,12,1.0,Legacy_Kernel
B1176,2025-02-05,32,17,0.934,Legacy_Kernel
B1177,2025-02-05,83,11,0.912,Smt_Control
B1178,2025-02-05,706,65,0.892,Legacy_Kernel
B1179,2025-02-05,23,16,1.0,Smt_Data
B1180,2025-02-06,86,24,1.0,Smt_Data
B1181,2025-02-06,909,75,0.857,Legacy_Kernel
B1182,2025-02-06,30,8,0.999,Smt_Control
B1183,2025-02-06,84,10,1.0,Smt_Data
B1184,2025-02-06,23,11,1.0,Legacy_Kernel
B1185,2025-02-07,35,16,1.0,Smt_Process
B1186,2025-02-07,21,11,0.995,Legacy_Kernel
B1187,2025-02-07,16,6,1.0,Smt_Data
B1188,2025-02-07,54,16,0.999,Smt_Data
B1189,2025-02-07,539,51,0.845,Smt_Control
B1190,2025-02-08,280,26,0.9,Smt_Control
B1191,2025-02-08,14,13,0.998,Smt_Data
B1192,2025-02-08,66,12,0.975,Smt_Data
B1193,2025-02-08,71,19,0.885,Smt_Control
B1194,2025-02-08,344,35,0.869,Legacy_Kernel
B1195,2025-02-09,86,21,1.0,Legacy_Kernel
B1196,2025-02-09,342,33,0.911,Smt_Process
B1197,2025-02-09,98,18,1.0,Smt_Process
B1198,2025-02-09,77,10,0.977,Smt_Control
B1199,2025-02-09,20,13,1.0,Legacy_Kernel
B1200,2025-02-10,44,14,1.0,Smt_Data
B1201,2025-02-10,589,54,0.889,Smt_Data
B1202,2025-02-10,24,7,0.974,Legacy_Kernel
B1203,2025-02-10,36,16,0.949,Legacy_Kernel
B1204,2025-02-10,49,13,0.991,Smt_Control
B1205,2025-02-11,57,19,1.0,Smt_Data
B1206,2025-02-11,32,15,1.0,Legacy_Kernel
B1207,2025-02-11,98,22,1.0,Smt_Process
B1208,2025-02-11,76,11,0.959,Smt_Control
B1209,2025-02-11,22,15,0.988,Legacy_Kernel
B1210,2025-02-12,965,81,0.868,Smt_Data
B1211,2025-02-12,933,71,0.934,Smt_Control
B1212,2025-02-12,59,21,1.0,Smt_Control
B1213,2025-02-12,69,22,0.979,Smt_Control
B1214,2025-02-12,72,17,1.0,Legacy_Kernel
B1215,2025-02-13,30,10,1.0,Legacy_Kernel
B1216,2025-02-13,81,19,0.958,Smt_Process
B1217,2025-02-13,40,14,1.0,Smt_Process
B1218,2025-02-13,627,52,0.911,Smt_Data
B1219,2025-02-13,15,20,1.0,Legacy_Kernel
B1220,2025-02-14,99,16,1.0,Smt_Control
B1221,2025-02-14,21,8,0.983,Smt_Data
B1222,2025-02-14,637,60,0.985,Smt_Process
B1223,2025-02-14,44,17,1.0,Smt_Data
B1224,2025-02-14,78,23,1.0,Legacy_Kernel
B1225,2025-02-15,627,59,0.887,Legacy_Kernel
B1226,2025-02-15,37,21,1.0,Smt_Control
B1227,2025-02-15,996,75,0.929,Smt_Data
B1228,2025-02-15,47,8,1.0,Legacy_Kernel
B1229,2025-02-15,86,22,0.984,Smt_Data
B1230,2025-02-16,65,10,0.925,Smt_Data
B1231,2025-02-16,33,18,0.943,Smt_Process
B1232,2025-02-16,33,12,0.98,Smt_Data
B1233,2025-02-16,90,24,0.935,Legacy_Kernel
B1234,2025-02-16,59,8,0.93,Legacy_Kernel
B1235,2025-02-17,13,16,1.0,Legacy_Kernel
B1236,2025-02-17,838,73,0.932,Smt_Control
B1237,2025-02-17,28,18,1.0,Legacy_Kernel
B1238,2025-02-17,90,14,0.991,Smt_Control
B1239,2025-02-17,44,11,0.888,Legacy_Kernel
B1240,2025-02-18,84,10,1.0,Legacy_Kernel
B1241,2025-02-18,23,15,0.971,Smt_Process
B1242,2025-02-18,228,27,1.0,Smt_Data
B1243,2025-02-18,501,49,0.918,Legacy_Kernel
B1244,2025-02-18,78,10,0.96,Smt_Control
B1245,2025-02-19,99,12,0.998,Smt_Control
B1246,2025-02-19,92,19,0.98,Smt_Process
B1247,2025-02-19,90,25,0.983,Smt_Control
B1248,2025-02-19,68,17,0.995,Smt_Data
B1249,2025-02-19,25,10,0.958,Smt_Data
B1250,2025-02-20,47,21,0.98,Smt_Control
B1251,2025-02-20,419,42,1.0,Legacy_Kernel
B1252,2025-02-20,79,24,0.907,Smt_Data
B1253,2025-02-20,34,17,1.0,Smt_Control
B1254,2025-02-20,63,22,1.0,Smt_Process
B1255,2025-02-21,80,17,0.951,Smt_Process
B1256,2025-02-21,77,24,0.983,Smt_Control
B1257,2025-02-21,33,18,1.0,Legacy_Kernel
B1258,2025-02-21,42,10,1.0,Smt_Data
B1259,2025-02-21,23,6,0.951,Smt_Process
B1260,2025-02-22,432,41,0.849,Legacy_Kernel
B1261,2025-02-22,47,20,0.932,Smt_Process
B1262,2025-02-22,492,44,0.857,Smt_Process
B1263,2025-02-22,28,8,0.964,Smt_Process
B1264,2025-02-22,22,7,0.928,Smt_Data
B1265,2025-02-23,83,21,0.953,Smt_Process
B1266,2025-02-23,30,21,1.0,Legacy_Kernel
B1267,2025-02-23,983,80,0.899,Smt_Control
B1268,2025-02-23,437,39,0.869,Legacy_Kernel
B1269,2025-02-23,422,45,0.91,Smt_Process
B1270,2025-02-24,76,20,0.982,Legacy_Kernel
B1271,2025-02-24,774,62,0.884,Smt_Data
B1272,2025-02-24,40,16,1.0,Smt_Data
B1273,2025-02-24,82,15,0.977,Smt_Control
B1274,2025-02-24,26,14,0.981,Smt_Control
B1275,2025-02-25,59,13,0.968,Smt_Control
B1276,2025-02-25,41,9,1.0,Legacy_Kernel
B1277,2025-02-25,923,71,0.941,Smt_Process
B1278,2025-02-25,88,10,1.0,Smt_Control
B1279,2025-02-25,341,31,0.871,Smt_Data
B1280,2025-02-26,226,30,1.0,Smt_Process
B1281,2025-02-26,39,18,1.0,Legacy_Kernel
B1282,2025-02-26,533,47,0.936,Smt_Process
B1283,2025-02-26,97,19,1.0,Smt_Data
B1284,2025-02-26,35,10,0.922,Smt_Process
B1285,2025-02-27,72,22,1.0,Smt_Process
B1286,2025-02-27,84,20,0.955,Smt_Data
B1287,2025-02-27,86,16,0.963,Smt_Data
B1288,2025-02-27,74,11,0.991,Smt_Data
B1289,2025-02-27,14,12,1.0,Legacy_Kernel
B1290,2025-02-28,922,66,0.848,Smt_Process
B1291,2025-02-28,89,17,1.0,Legacy_Kernel
B1292,2025-02-28,61,17,0.918,Smt_Process
B1293,2025-02-28,14,6,0.927,Smt_Process
B1294,2025-02-28,42,16,1.0,Smt_Control
B1295,2025-03-01,92,21,1.0,Smt_Data
B1296,2025-03-01,32,20,1.0,Smt_Data
B1297,2025-03-01,834,64,0.925,Smt_Control
B1298,2025-03-01,66,19,1.0,Smt_Data
B1299,2025-03-01,53,22,0.971,Smt_Process
B1300,2025-03-02,79,21,0.97,Smt_Data
B1301,2025-03-02,69,23,0.956,Smt_Process
B1302,2025-03-02,95,12,0.919,Smt_Control
B1303,2025-03-02,61,22,0.945,Smt_Control
B1304,2025-03-02,61,14,1.0,Smt_Process
B1305,2025-03-03,43,17,0.998,Smt_Data
B1306,2025-03-03,887,78,0.873,Smt_Process
B1307,2025-03-03,65,16,1.0,Smt_Process
B1308,2025-03-03,94,13,1.0,Legacy_Kernel
B1309,2025-03-03,38,19,1.0,Legacy_Kernel
B1310,2025-03-04,19,12,1.0,Legacy_Kernel
B1311,2025-03-04,32,14,0.949,Smt_Data
B1312,2025-03-04,61,22,0.895,Smt_Data
B1313,2025-03-04,53,13,0.969,Smt_Control
B1314,2025-03-04,959,74,0.843,Smt_Control
B1315,2025-03-05,788,63,0.749,Smt_Control
B1316,2025-03-05,76,10,0.918,Smt_Control
B1317,2025-03-05,51,16,0.956,Smt_Data
B1318,2025-03-05,93,12,0.972,Smt_Data
B1319,2025-03-05,272,30,0.927,Smt_Control
B1320,2025-03-06,58,8,1.0,Smt_Process
B1321,2025-03-06,40,12,1.0,Legacy_Kernel
B1322,2025-03-06,12,17,1.0,Smt_Control
B1323,2025-03-06,31,21,0.978,Legacy_Kernel
B1324,2025-03-06,78,13,0.996,Smt_Data
B1325,2025-03-07,38,21,1.0,Legacy_Kernel
B1326,2025-03-07,471,39,0.889,Smt_Control
B1327,2025-03-07,34,8,1.0,Smt_Control
B1328,2025-03-07,92,17,0.934,Smt_Process
B1329,2025-03-07,13,18,1.0,Smt_Process
B1330,2025-03-08,776,56,0.933,Smt_Control
B1331,2025-03-08,53,11,1.0,Smt_Data
B1332,2025-03-08,66,21,0.996,Smt_Data
B1333,2025-03-08,88,22,0.993,Legacy_Kernel
B1334,2025-03-08,24,16,0.969,Legacy_Kernel
B1335,2025-03-09,481,40,0.968,Smt_Control
B1336,2025-03-09,34,15,1.0,Smt_Process
B1337,2025-03-09,14,11,0.912,Smt_Data
B1338,2025-03-09,94,11,1.0,Legacy_Kernel
B1339,2025-03-09,29,8,1.0,Smt_Control
B1340,2025-03-10,93,14,0.98,Smt_Control
B1341,2025-03-10,10,16,0.895,Legacy_Kernel
B1342,2025-03-10,39,12,1.0,Smt_Process
B1343,2025-03-10,945,74,0.897,Smt_Process
B1344,2025-03-10,92,24,0.983,Smt_Process
B1345,2025-03-11,383,43,0.907,Smt_Process
B1346,2025-03-11,32,15,0.954,Legacy_Kernel
B1347,2025-03-11,53,18,1.0,Legacy_Kernel
B1348,2025-03-11,96,21,1.0,Smt_Process
B1349,2025-03-11,39,16,0.937,Smt_Control
B1350,2025-03-12,934,76,0.935,Smt_Process
B1351,2025-03-12,55,8,0.983,Legacy_Kernel
B1352,2025-03-12,451,42,0.874,Smt_Process
B1353,2025-03-12,82,10,0.936,Smt_Process
B1354,2025-03-12,28,18,0.926,Smt_Control
B1355,2025-03-13,86,12,0.962,Smt_Control
B1356,2025-03-13,727,63,0.924,Smt_Control
B1357,2025-03-13,772,62,0.925,Smt_Data
B1358,2025-03-13,70,22,0.944,Smt_Process
B1359,2025-03-13,60,17,1.0,Smt_Control
B1360,2025-03-14,71,11,1.0,Smt_Control
B1361,2025-03-14,92,24,1.0,Smt_Data
B1362,2025-03-14,81,20,1.0,Smt_Process
B1363,2025-03-14,95,13,0.957,Smt_Control
B1364,2025-03-14,40,20,0.975,Smt_Data
B1365,2025-03-15,94,25,0.966,Legacy_Kernel
B1366,2025-03-15,533,41,0.909,Smt_Data
B1367,2025-03-15,906,74,0.866,Smt_Data
B1368,2025-03-15,481,51,0.907,Smt_Control
B1369,2025-03-15,85,10,0.949,Smt_Data
B1370,2025-03-16,44,11,1.0,Smt_Data
B1371,2025-03-16,39,16,0.983,Legacy_Kernel
B1372,2025-03-16,84,24,0.984,Legacy_Kernel
B1373,2025-03-16,42,15,0.996,Smt_Process
B1374,2025-03-16,15,14,1.0,Legacy_Kernel
B1375,2025-03-17,45,12,1.0,Smt_Process
B1376,2025-03-17,31,14,0.917,Smt_Control
B1377,2025-03-17,55,10,1.0,Smt_Process
B1378,2025-03-17,321,39,0.874,Smt_Process
B1379,2025-03-17,56,16,1.0,Smt_Control
B1380,2025-03-18,31,19,0.958,Legacy_Kernel
B1381,2025-03-18,19,12,1.0,Smt_Process
B1382,2025-03-18,99,14,0.987,Smt_Data
B1383,2025-03-18,64,20,0.97,Smt_Data
B1384,2025-03-18,96,16,0.975,Smt_Process
B1385,2025-03-19,92,18,0.926,Smt_Control
B1386,2025-03-19,97,15,0.845,Smt_Process
B1387,2025-03-19,17,17,0.941,Smt_Data
B1388,2025-03-19,32,10,1.0,Smt_Data
B1389,2025-03-19,30,21,1.0,Smt_Process
B1390,2025-03-20,63,10,0.945,Smt_Control
B1391,2025-03-20,24,19,0.985,Smt_Process
B1392,2025-03-20,10,17,0.955,Smt_Data
B1393,2025-03-20,871,64,0.889,Legacy_Kernel
B1394,2025-03-20,620,56,0.904,Smt_Process
B1395,2025-03-21,56,19,1.0,Legacy_Kernel
B1396,2025-03-21,56,9,0.964,Legacy_Kernel
B1397,2025-03-21,25,19,1.0,Legacy_Kernel
B1398,2025-03-21,88,13,1.0,Smt_Process
B1399,2025-03-21,77,18,1.0,Legacy_Kernel
B1400,2025-03-22,20,18,1.0,Legacy_Kernel
B1401,2025-03-22,530,46,0.944,Smt_Data
B1402,2025-03-22,73,22,1.0,Legacy_Kernel
B1403,2025-03-22,92,18,1.0,Smt_Control
B1404,2025-03-22,55,8,1.0,Smt_Data
B1405,2025-03-23,29,11,0.88,Smt_Data
B1406,2025-03-23,21,10,0.937,Smt_Data
B1407,2025-03-23,97,17,1.0,Smt_Data
B1408,2025-03-23,31,21,1.0,Legacy_Kernel
B1409,2025-03-23,36,17,0.957,Smt_Control
B1410,2025-03-24,12,6,0.965,Legacy_Kernel
B1411,2025-03-24,53,13,1.0,Legacy_Kernel
B1412,2025-03-24,44,8,0.979,Smt_Control
B1413,2025-03-24,65,10,0.899,Smt_Control
B1414,2025-03-24,17,17,1.0,Smt_Control
B1415,2025-03-25,212,31,0.936,Legacy_Kernel
B1416,2025-03-25,58,13,0.926,Legacy_Kernel
B1417,2025-03-25,96,22,0.985,Smt_Control
B1418,2025-03-25,333,28,0.945,Smt_Process
B1419,2025-03-25,29,13,0.979,Smt_Process
B1420,2025-03-26,17,16,0.939,Smt_Data
B1421,2025-03-26,36,16,1.0,Legacy_Kernel
B1422,2025-03-26,10,17,0.97,Smt_Process
B1423,2025-03-26,86,12,0.988,Smt_Process
B1424,2025-03-26,74,20,0.968,Smt_Process
B1425,2025-03-27,99,15,0.979,Smt_Data
B1426,2025-03-27,408,46,0.869,Legacy_Kernel
B1427,2025-03-27,97,17,0.959,Smt_Control
B1428,2025-03-27,985,80,0.997,Legacy_Kernel
B1429,2025-03-27,282,23,1.0,Legacy_Kernel
B1430,2025-03-28,84,13,1.0,Smt_Data
B1431,2025-03-28,67,11,1.0,Smt_Data
B1432,2025-03-28,79,10,1.0,Smt_Process
B1433,2025-03-28,49,20,0.949,Smt_Data
B1434,2025-03-28,63,21,1.0,Smt_Data
B1435,2025-03-29,639,49,0.847,Smt_Control
B1436,2025-03-29,62,17,0.955,Smt_Control
B1437,2025-03-29,645,53,0.938,Legacy_Kernel
B1438,2025-03-29,24,13,1.0,Smt_Data
B1439,2025-03-29,64,17,1.0,Smt_Control
B1440,2025-03-30,61,9,0.96,Smt_Process
B1441,2025-03-30,815,70,0.945,Smt_Process
B1442,2025-03-30,215,28,0.983,Smt_Control
B1443,2025-03-30,65,14,0.945,Smt_Process
B1444,2025-03-30,65,17,0.932,Legacy_Kernel
B1445,2025-03-31,22,11,1.0,Smt_Control
B1446,2025-03-31,607,52,0.935,Smt_Control
B1447,2025-03-31,21,14,0.932,Legacy_Kernel
B1448,2025-03-31,85,10,1.0,Legacy_Kernel
B1449,2025-03-31,84,19,1.0,Smt_Data
B1450,2025-04-01,37,10,1.0,Smt_Control
B1451,2025-04-01,46,21,0.981,Smt_Data
B1452,2025-04-01,93,15,1.0,Legacy_Kernel
B1453,2025-04-01,54,9,0.857,Smt_Process
B1454,2025-04-01,10,5,1.0,Legacy_Kernel
B1455,2025-04-02,42,20,0.91,Smt_Control
B1456,2025-04-02,10,7,1.0,Smt_Control
B1457,2025-04-02,29,10,0.946,Smt_Data
B1458,2025-04-02,68,12,0.966,Smt_Data
B1459,2025-04-02,49,11,1.0,Smt_Process
B1460,2025-04-03,25,7,0.964,Smt_Control
B1461,2025-04-03,14,8,0.969,Smt_Control
B1462,2025-04-03,622,49,0.923,Smt_Data
B1463,2025-04-03,340,34,0.897,Smt_Data
B1464,2025-04-03,20,6,0.956,Smt_Data
B1465,2025-04-04,41,11,0.951,Smt_Data
B1466,2025-04-04,36,8,0.926,Smt_Control
B1467,2025-04-04,13,6,0.952,Smt_Data
B1468,2025-04-04,52,13,1.0,Smt_Data
B1469,2025-04-04,94,12,1.0,Legacy_Kernel
B1470,2025-04-05,93,19,1.0,Legacy_Kernel
B1471,2025-04-05,48,17,1.0,Smt_Data
B1472,2025-04-05,42,14,1.0,Smt_Data
B1473,2025-04-05,273,37,0.955,Smt_Control
B1474,2025-04-05,490,50,0.883,Smt_Process
B1475,2025-04-06,23,20,0.98,Smt_Control
B1476,2025-04-06,25,10,0.972,Legacy_Kernel
B1477,2025-04-06,84,14,0.958,Smt_Data
B1478,2025-04-06,78,24,0.886,Smt_Control
B1479,2025-04-06,99,14,1.0,Legacy_Kernel
B1480,2025-04-07,370,42,0.926,Smt_Data
B1481,2025-04-07,43,14,1.0,Legacy_Kernel
B1482,2025-04-07,96,13,0.978,Smt_Data
B1483,2025-04-07,64,16,0.984,Legacy_Kernel
B1484,2025-04-07,981,84,0.831,Smt_Data
B1485,2025-04-08,33,21,0.999,Legacy_Kernel
B1486,2025-04-08,81,22,1.0,Legacy_Kernel
B1487,2025-04-08,10,19,0.984,Smt_Data
B1488,2025-04-08,59,11,0.989,Smt_Control
B1489,2025-04-08,51,13,1.0,Smt_Data
B1490,2025-04-09,79,12,0.995,Legacy_Kernel
B1491,2025-04-09,88,21,1.0,Smt_Control
B1492,2025-04-09,409,33,0.908,Smt_Control
B1493,2025-04-09,28,20,0.948,Smt_Process
B1494,2025-04-09,41,18,1.0,Smt_Data
B1495,2025-04-10,54,20,1.0,Smt_Control
B1496,2025-04-10,90,18,0.945,Smt_Control
B1497,2025-04-10,76,15,0.999,Smt_Control
B1498,2025-04-10,78,23,1.0,Legacy_Kernel
B1499,2025-04-10,59,15,0.994,Smt_Control
B1500,2025-04-11,79,20,1.0,Smt_Data
B1501,2025-04-11,828,68,0.918,Smt_Control
B1502,2025-04-11,70,9,0.975,Smt_Data
B1503,2025-04-11,577,47,0.953,Legacy_Kernel
B1504,2025-04-11,96,25,1.0,Legacy_Kernel
B1505,2025-04-12,77,20,0.978,Smt_Data
B1506,2025-04-12,651,52,0.939,Smt_Process
B1507,2025-04-12,76,16,1.0,Smt_Control
B1508,2025-04-12,75,10,0.971,Legacy_Kernel
B1509,2025-04-12,74,11,1.0,Smt_Control
B1510,2025-04-13,60,17,0.999,Legacy_Kernel
B1511,2025-04-13,55,12,0.969,Smt_Data
B1512,2025-04-13,318,26,0.897,Legacy_Kernel
B1513,2025-04-13,232,22,1.0,Legacy_Kernel
B1514,2025-04-13,12,7,1.0,Smt_Data
B1515,2025-04-14,87,11,0.968,Legacy_Kernel
B1516,2025-04-14,92,22,0.992,Smt_Data
B1517,2025-04-14,86,24,0.987,Smt_Process
